"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,181dd6904dc58abc20aced3c8177881cbfb5e48d,@,@,Frogger,,,v0.92,2005,"Covell, Chris",,,,,,,1,,,
@,,1866752a92abbf0eb55fbf9de1cd1b731ec62a54,@,@,"Street Fighter II'",,,,1997,"Capcom / Sega / Tec Toy",br,,,,,,,,,
@,,189ee1d4250a1f33e97053aa804a97b4e1467728,@,@,"Global Defense",,,,1987,Sega,,,,,,,,,,
@,,19a82099f0277264ce518bd9dd86235016f7abf7,@,@,"Agigongnyong Dooly",,,,1991,"Daou Infosys",kr,,,,,,,,,
@,,1a3892d49e2c8107641ac601e7d4f04558e2e28c,@,@,Hang-On,,,,1985,Sega,,b,,,,,,,,
@,,1a59ed9f6c3ef7ded27135a4e905ca2edbbe94bf,@,@,"Penguin Land",,,v1,1987,Sega,,b,,,,,,,,
@,,1b2b525ef2ab2d7ea3f934f0c229dab33af56d90,@,@,"Jang Pung 3",,,,1994,"Open Corp / Sieko",kr,,,,,,,,,
@,,1b4f7eca8a3f04ead404e6f439a6c49a0d0500df,@,@,"Aventuras da TV Colosso, As",,,,1996,"Sega / Tec Toy",br,,,,,,,,,
@,,1b6330199444e303aafb9a2fd3f2119cedab0712,@,@,"King's Quest",,,beta,1989,"Parker Brothers",us,,,,,,,,,
@,,1ba6833e88feeacaaa9bc3bcf376e757da2ff252,@,@,A_KANOID,,,,2021/09/08,Toxa,,,,,,,,,,
@,,1bac18379017ce56828aac4816612f1a4e74210b,@,@,"Astro Hunter",,,v0.2,2021/11/28,haroldo-ok,,,,,,,,,,
@,,1bf83f9be51226d3311aa604e30b39a20c1a1fdc,@,@,Blockhead,,,"v1.0 / ",2004,"Proppy / Tet",,,,,,,,,,
@,,1c05cfc0d92397a14467b74629afc86f0ee5d468,@,@,"Dragon Blaster",,,v0.1,2021/10/14,haroldo-ok,,,,,,,,,,
@,,1c1b24f91c3b244e7307320f617755332b1de09c,@,@,Hook,,,proto,1992,"Core Design / Sony / Spidersoft",,,,,,pt,,,,
