"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,02ddd1cae42ffc422f5c65a59aaba17aace133ab,@,@,"Rocket Knight Adventures",,,@,1993-08-06,Konami,jp,@,@,@,@,@,@,@,@,2
@,,02f32c58c4b86db8a50264a8179c563705674829,@,@,"Virtua Fighter 2 vs. Tekken 2",,,@,199x,@,tw,@,@,@,@,@,*,@,@,*
@,,02f788cb6d9ba81fa96d84642fb57ee52f8a1551,@,@,"Contra: The Hard Corps",,"Contra - Hard Corps",@,1994,Konami,us,@,@,@,@,@,@,@,@,"MODE switches fire type DUSTINODELLOFFICIAL"
@,,02fe11728a138d9312ea7463ee2d558690e82ac8,@,@,"Classic Collection",,,@,1996-08,Sega,eu,@,@,"NTSC GhostlyDark",@,@,@,@,@,@
@,,031e5ea1004e88f100c57933a77b74b411648a86,@,@,"Bubsy in Claws Encounters of the Furred Kind",,,@,@,MagicGame,eu-us,@,@,@,@,ru,@,@,@,@
@,,032814fe252c3f8f2fc2c1cebba70b465900bfe0,@,@,"The Terminator",,Terminator,@,1992-02,Virgin,us,b,@,@,@,@,@,@,@,@
@,,032eb1a15c95540b392b52ee17eef7eee6ac436d,@,@,"Brian Lara Cricket",,,@,1994-11,Codemasters,au,@,@,@,@,@,@,@,@,@
@,,0330611a5fcb1f3ca173fcb3387fd35b865f1131,@,@,"Feng Kuang Tao Hua Yuan",,,@,2001,"Creaton Softech",tw,@,@,@,@,@,*,@,@,@
@,,0341c231c268b61add922c5c3bf5ab2f9dfbf88f,@,@,"Mickey to Minnie Magical Adventure 2",,,@,1994-12-16,Capcom,jp,@,@,@,@,@,@,@,@,@
@,,035d655c1060a49a7c7cb51ac412d54762954a8a,@,@,"Slap Fight",,,@,1993-06-11,Tengen,jp,@,@,@,@,@,@,@,@,2
@,,035ef16bbdef87c7a85346e7a1dd9a8c1b21ad94,@,@,"World of Illusion Starring Mickey Mouse & Donald Duck",,,@,1992-12-14,Sega,eu,@,@,@,@,es,@,@,@,@
@,,03621dd7e9f86a10782b3dd09d5dea6de098fc8d,@,@,"Sensible Soccer",,,beta,1993,"Renegade | Sony Imagesoft",eu,@,@,@,@,@,@,@,@,4
@,,036438b6ac32cc5bb660f30ffd0f4285588a322a,@,@,"Phantasy Star II",,,v01,1990-01,Sega,eu-us,@,@,@,@,es,@,@,@,@
@,,0384a60ef9167cebcd40c1ad490a3f7aacb874bf,@,@,"Simpsons Trivia",,,v2.0,2021-11-30,"StevePro Studios",@,@,@,@,@,@,@,@,@,@
