Name:            Clone of:
arkatayt         arkanoid
arkatour2        arkatour
arkbloc2         arkanoid
arkbloc3         arkanoid
arkblock         arkanoid
arkgcbl          arkanoid
arkgcbla         arkanoid
arknoid2b        arknoid2
arknoid2j        arknoid2
arknoid2u        arknoid2
arkretrnj        arkretrn
arkretrnu        arkretrn
arktayt2         arkanoid
arlingtna        arlingtn
armchmp2o        armchmp2
armchmp2o2       armchmp2
armedff          armedf
armorap          armora
armorar          armora
armorcar2        armorcar
armwar1d         armwar
armwara          armwar
armwarar1        armwar
armwarb          armwar
armwarr1         armwar
armwaru          armwar
armwaru1         armwar
as496            ibm5170
as_bbra          as_bbr
as_bbrb          as_bbr
as_bbrc          as_bbr
as_bbrd          as_bbr
as_bbre          as_bbr
as_bbrf          as_bbr
as_big10a        as_big10
as_big10b        as_big10
as_big10c        as_big10
as_big10d        as_big10
as_bigcsa        as_bigcs
as_celeba        as_celeb
as_celebb        as_celeb
as_colmna        as_colmn
as_colmnb        as_colmn
as_colmnc        as_colmn
as_colmnd        as_colmn
as_dblcsa        as_dblcs
as_dblcsb        as_dblcs
as_dblcsc        as_dblcs
as_dblcsd        as_dblcs
as_dblcse        as_dblcs
as_dblcsf        as_dblcs
as_dblcsg        as_dblcs
as_dblcsh        as_dblcs
as_hca           as_hc
as_hcb           as_hc
as_hcc           as_hc
as_hcd           as_hc
as_jjivea        as_jjive
as_jjiveb        as_jjive
as_jjivec        as_jjive
as_jjived        as_jjive
as_jjivee        as_jjive
as_jjivef        as_jjive
as_jjiveg        as_jjive
as_jmpja         as_jmpj
as_jpxa          as_jpx
as_jpxb          as_jpx
as_kingca        as_kingc
as_koca          as_koc
as_lbta          as_lbt
as_ldla          as_ldl
as_ldlb          as_ldl
as_ldlc          as_ldl
as_ldld          as_ldl
as_ldle          as_ldl
as_otra          as_otr
as_partya        as_party
as_partyb        as_party
as_partyc        as_party
as_partyd        as_party
as_partye        as_party
as_partyf        as_party
as_pharga        as_pharg
as_phargb        as_pharg
as_phargc        as_pharg
as_phargd        as_pharg
as_pharge        as_pharg
as_piaa          as_pia
as_piab          as_pia
as_ptfa          as_ptf
as_ptfb          as_ptf
as_ptfc          as_ptf
as_raba          as_rab
as_rabb          as_rab
as_rabc          as_rab
as_rbga          as_rab
as_rbgb          as_rab
as_rbgc          as_rab
as_rbgd          as_rab
as_rbge          as_rab
as_rtra          as_rtr
as_rtrb          as_rtr
as_rtrc          as_rtr
as_rtrd          as_rtr
as_rtre          as_rtr
as_rtrf          as_rtr
as_rtrg          as_rtr
as_rtrh          as_rtr
as_siua          as_siu
as_slda          as_sld
as_sldb          as_sld
as_sldc          as_sld
as_sldd          as_sld
as_slde          as_sld
as_srba          as_srb
as_srbb          as_srb
as_srbc          as_srb
as_srbd          as_srb
as_srbe          as_srb
as_stpa          as_stp
as_stpb          as_stp
as_tbla          as_tbl
as_tblb          as_tbl
as_tblc          as_tbl
as_tbld          as_tbl
as_tble          as_tbl
as_tblf          as_tbl
as_tema          as_tem
as_topsla        as_topsl
as_topslb        as_topsl
as_topslc        as_topsl
as_topsld        as_topsl
as_twpa          as_twp
as_vcva          as_vcv
as_vcvb          as_vcv
as_vcvc          as_vcv
as_vcvd          as_vcv
as_vcve          as_vcv
as_wwa           as_ww
as_wwb           as_ww
