"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Robin and Marian",,03d2d18fba516d38a12de3cfeeaceaa694ed01b1,,,"Robin and Marian",,,,19xx,"Micro User",,a,"a 1; [ROBIN]",,,,,,,,,,,
@,,03ebfd0d2bda6a04469f2c933162075ecac3c6b0,,,"Printmaster Epson",@,,"v 1.10",1984,"Computer Concepts",@,,,,,,,,,,,,,
"Chess v2.32",,03ed4e407c75b4edf08324bb3177497500d9c2f8,,,Chess,,,"v 2.32",1983,"Computer Concepts",,,[CHESS],,,,,,,,,,,
"BBC PD Disk 060: Roly Poly Pudding",,03f2868632fac86bcf52a6cadc00e5c12f00513d,,,"BBC PD Disk 060: Roly Poly Pudding",,,"Copyright Public Domain",19xx,,,,"[RUN !BOOT]",,,,,,,,,,,
"Slide Show 16",,03f6b65aa65ddd60a120d5fd4388049efff98480,,,"Slide Show 16",,,,19xx,,,,[ADFS],,,,,,,,,,,
"Strip Poker",,03f6c6638f4f7dcc862a1137912841053f2c9ef6,,,"Strip Poker",,,,19xx,Artworx,,a,"a 1; [POKER]",,,,,,,,,,,
"Sabre Wulf",,0400415674e1d35d1aa6826ec3415cb4eb8cdf48,,,"Sabre Wulf",,,,19xx,Ultimate,,,[WULF],,,,,,,,,,,
Camelot,,04046a7777646711152dd73095f7b0182e8809ae,,,Camelot,,,,1989,Superior,,,[CAMELOT],,,,,,,4,,,,
"Mysterious Adventure 11: Waxworks",,0410464ad740e55f1c619001a67d2630dad58c01,,,"Mysterious Adventure 11: Waxworks",,,,1983,"Digital Fantasia",,a,"a 2; [WAXWORK]",,,,,,,,,,,
"Moonbase Alpha",,0410a34110f7058afd2190e4210f207da1d2af23,,,"Moonbase Alpha",,,,19xx,,,,,,,,,,,1,,,,
Quadline,,0416eb13e6481b4a9fa844616ea2a53ab48e484f,,,Quadline,,,,1985,"Acorn User",,a,"a 1; [MINEQ]",,,,,,,,,,,
"A&B Computing: Volume 1: Number 11",,042ffc54aabe12ff640bf7da82d86313e7f628e1,,,"A&B Computing: Volume 1: Number 11",,,,1984,A&B,,,,,,,,,,Dave,,,,
Roboman,,0439f225dc20ea7129573762f2265ce8f5101a96,,,Roboman,,,,19xx,Alligata,,,[ROBO],,,,,,,,,,,
@,,043f372195f25acb3e55b042a8d8e9f3f4e3806f,,,DataGem,@,,"v 1.02F",1984,@,@,,,,,,,,,,,,,
"Beebug Magazine: Volume 09: Number 07",,045696ea085726ea5d486ae02605dbac58a14a48,,,"Beebug Magazine: Volume 09: Number 07",,,,1990/12,Beebug,,,,,,,,,,,,,,
Repton,,04604d538b617328843167e97055ac60adf13ac8,,,Repton,,,,19xx,Superior,,,,,,,,,,1,,,,
"Lunar Jetman Special",,0466f914a1d0a34262e2accb468055819679c4bf,,,"Lunar Jetman Special",,,,1986,,,,,,,,,,,2,,,,
"Looney Lift",,047311995fcbfdc4598f04c30858da433c24f87c,,,"Looney Lift",,,,1983,H&H,,,,,,,,,,TSTH,,,,
"A&B Computing: Volume 1: Number 13",,0482c1e89295c8602e241883b722034f301274f8,,,"A&B Computing: Volume 1: Number 13",,,,1985,A&B,,,,,,,,,,Dave,,,,
"Ask: The Real You",,048a7b729a9b50b2e15885b7ade696a71080669b,,,"Ask: The Real You",,,,19xx,"Collins Soft",,,[REAL],,,,,,,,,,,
"8-Bit Software: Issue 12",,04908e3997ca68f15c0ede4b0694312b3b0cf5ae,,,"8-Bit Software: Issue 12",,,,1991,"Webster, Duncan",,,,,,,,,,,,,,
