"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Mega lo Mania",,01a1219b9fa63eb0dab66f15f4415d7a4dda1081,,,,,,"(E) (Beta) (M3) [o1][f1]",,,,?,,,,,,,,,,,,
"Best of the Best: Championship Karate",,01a1cb3e4ea1714c145ff06a0826d6df0ed36a06,,,,,,"(U) [!]",,,,?,,,,,,,,,,,,
"Ganbare Goemon: Boku ga Dancer ni Natta Riyuu: Kirakira Douchuu",,01a5fe642fdfa417b0145d336bc1cb2c21bf01ca,,,,,,"(J) (V1.0) [t1]",,,,?,,,,,,,,,,,,
"SMB2 Music by Mattrizzle87",,01a7cb4101c9bf2c5efb71481c36e33eb0c2460f,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Shounin Yo, Taishi wo Idake!!",,01a8947142572e7fee83cbdc95d5bd854d2152d7,,,"Shounin yo, Taishi wo Idake!!",,,"(J) [!]",,,,?,,,,,,,,,,,,
Rampart,,01ab7e90b6b2360670fef916772d657d237fd182,,,,,,"(U) [!]",,,,?,,,,,,,,,,,,
"Power Drive",,01ae133fda2a9d28294ec0f0c8e4e72f63685a0f,,,,,,"(E) (M5) [h1+C]",,,,?,,,,,,,,,,,,
"3 Ninjas Kick Back",,01afb5a46122b797c9afaccfe9131549fd4e54ab,,,,,,"(U) [T+Fre1.00_Generation IX]",,,,?,,,,,,,,,,,,
"Der Langrisser by yiyun930 v1.5",,01b274cccc91095dfa543bcf681d339a6b842e78,,,,,,"(Hack) [a1]",,,,?,,,,,,,,,,,,
"Legend of Zelda, The: A Link to the Past",,01b4b935d91e0962320fc91be85829fdfa89e4a8,,,"Ruins of Rockvan beta by Torin",,,"(Zelda Hack)",,,,?,,,,,,,,,,,,
"Konpeki no Kantai",,01b56237b4a3919ce5d0a61be1b406eb67df37d6,,,,,,"(J) [h1C]",,,,?,,,,,,,,,,,,
"Startime: The 2nd Adventure",,01b91c4928fd3c06864ebcb46149685c680a188a,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Metroid: Vanilla +PLUS by SquishyIchigo",,01ba65b6cc6f4caa4d74743034a2ce948fe098ae,,,,,,(Hack),,,,?,,,,,,,,,,,,
"Illusion of Gaia",,01bd54e220d5208433ecfdf0b9fa1a08b2260a89,,,"Gaia Gensouki",,,"(J) [!]",,,,?,,,,,,,,,,,,
"Brawl Brothers",,01bf09e99d9b7baa88f852293ec941cf863f7009,,,,,,"(U) [!]",,,,?,,,,,,,,,,,,
"Doraemon 4: Nobita to Tsuki no Oukoku",,01bf3e02e8ea63d946e3520d303568f1dc1edb75,,,,,,"(J) [b1][T+Chi_hxr-dc]",,,,?,,,,,,,,,,,,
"Super Wagyan Land",,01c6ee45f353fe0f0d305ee6b065f82c6b15c885,,,,,,"(J) (VC)",,,,?,,,,,,,,,,,,
"Super Metroid",,01c80887920df5bee3ecdc7d2ef9a665307f0f71,,,Pantheon,,,"(Super Metroid Hack)",,,,?,,,,,,,,,,,,
"Space Ace",,01c9a3aff6aff2ad46a25dc6524cd8418b198a44,,,,,,"(Beta) [t1]",,,,?,,,,,,,,,,,,
"Final Fantasy III",,01ca281ac9fff0decdecb3476b179efe83596ab3,,,,,,"(U) (V1.0) [T+Fre1.9_Final_Translation]",,,,?,,,,,,,,,,,,
"Pirates of Dark Water, The",,01cbcbdce9adb8c87942abec8bdcc6d004f973bc,,,"The Pirates of Dark Water",,"Pirates of Dark Water, The",,1994,Sunsoft,us,,,,1,,,,,,,,,
"Legend of Zelda, The: A Link to the Past",,01ce9a91f7940a694a6dff4cb36b12d0a3cdd19c,,,,,,"(G) [o1]",,,,?,,,,,,,,,,,,
"Vanilla Level, A",,01d0c3c9cbd15556bd9451616cc8778b11507813,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Mario World 2nd Run",,01d26c00fe73e06b2f5d1ab20efa21054595dbc9,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Mystical Island, The by nicknick293",,01d4b8d626d9f1e20d4784ae0eaf6c9dff10bd53,,,,,,"(5 Level Demo) (SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Fire Pro Wrestling III: Final Bout",,01d9a5b180b8145672ff0eff88520f1a2ef363cd,,,"Super Fire Pro Wrestling III: Easy Type",,,(J),,,,?,,,,,,,,,,,,
"Black Switch Palace",,01dcc93386687aece8a75c626da2db2a3c7b6d0c,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"NHL '94",,01dd7ab123989380ba40a9cbae96dd517d897b38,,,"Tru Playoffs 2011",,,"(NHL '94 Hack)",,,,?,,,,,,,,,,,,
"Great Battle Gaiden 2, The",,01ddf945f7ed5a969f95e9efdbb8aeddbd386d29,,,,,,"(J) [t1]",,,,?,,,,,,,,,,,,
"Puzzle Contest Entry",,01df5664f47e637af99c8cbe4eee1f319b5154ae,,,,,,"(Really The Final Version) (Level for contest) by mysterymeat123 (2010-05-08) (SMW1 Hack)",,,,?,,,,,,,,,,,,
"Jissen Pachinko Hisshouhou! 2",,01df8b2a144a6863eda89dea1b1ff84809b87bd1,,,,,,"(J) [h1C]",,,,?,,,,,,,,,,,,
"Zaitaku Touhyou System: SPAT4-Wide: Minami Kantou Keibajou Denwa Touhyou Center",,01e4d23294dfb6c471ec6555c29fe7afd85b73f9,,,,,,"(J) [!]",,,,?,,,,,,,,,,,,
"Super Mario Starlight Remix v2.1",,01e643271c264513534184f14ac290ff0aedfdc1,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Supercom Pro 2 BIOS",,01edac71aa6cd9acfee0ba8cc166d3c72baaa309,,,,,,[o1],,,,?,,,,,,,,,,,,
"Kaizou Choujin Shubibinman Zero",,01ee6bf358d39b7346f97e6c0f0ce20e293b8f4a,,,,,,"(BS) [h2]",,,,?,,,,,,,,,,,,
"Dual Orb II",,01f0dc9c2397f1b68545aa984b50ff38c3245220,,,,,,"(J) [b4]",,,,?,,,,,,,,,,,,
"Themed Level Contest",,01f0ec7c42e1f1d934e978e8ea2fa488bc60537e,,,,,,"(#3) - Ruined Fortress by GlitchMr (2011-12-14) (SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super SIG World 26-Hard",,01f2718899ca66cb0b5084e32536b0c467a82420,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Ghouls 'n Ghosts",,01f699bdc77f90ceb1105619e840f503e71219e0,,,"Super Ghouls 'N Ghosts",,,"(U) [h2C]",,,,?,,,,,,,,,,,,
"Captain Commando",,01f8f59ec99bc256f51a731b604fb93ddf665f94,,,,,,"(E) [b1]",,,,?,,,,,,,,,,,,
"Derby Stallion III",,01fa5a26c3521fe73eb687f9731a044dd3022287,,,,,,"(J) (V1.3) [!]",,,,?,,,,,,,,,,,,
"ASCII Data 1",,01fbab2a57d5e9ef9abc85202c3ef75031bd17ad,,,,,,(BS),,,,?,,,,,,,,,,,,
