"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Numjump,,19a78256b83281ce62402efaf4cd1b42037eb514,,,jump_16,,,,,,,?,,,,,,,,,,,,
"Little Big Adventure 2",,19e7ca834aa27c1339153c598e650979aa17e4d5,,,LBA2TR5,,,,,,,?,,,,,,,,,,,,
Flow,,1a2d66784db595187013b3d2bb895ee8d8f3f240,,,RPG_RT,,,,,,,?,,,,,,,,,,,,
"Microsoft Visual C++ 2012 Redistributable",,1a5d93dddbc431ab27b1da711cd3370891542797,,,,,,"x64 11.0.61030",,,,?,,,,,,,,,,,,
"Civilization II",,1ac1e3f4ff1b4e8feca09c6b960c6482ab32ebeb,,,"Civilization II: Setup",,"Civilization 2 - Setup",,,,,?,,,,,,,,,,,,
"Sub Culture",,1aca03bdc9307295f01875f399e973887225e30a,,,SC3DFX,,,,,,,?,,,,,,,,,,,,
"Abobo's Big Adventure",,1ada9acbb12cd55133dffd7272547dfee5ebde5f,,,,,,v1.4,,,xw,!,,,,,,,,,,,,
"Touhou 12.8: Fairy Wars v1",,1b2332ceab937b303f8312ceede24445988349b2,,,th128,,,,,,,?,,,,,,,,,,,,
"Touhou 6: The Embodiment of Scarlet Devil",,1b3e1aed6c9fe89ac58b04ad5e3dc268d413971e,,,custom,,,,,,,?,,,,,,,,,,,,
"Touhou 7.5: Immaterial and Missing Power",,1b93eff78c8851e834136bc2b28f2fc22cbc467e,,,th075,,,,,,,?,,,,,,,,,,,,
"Age of Empires: Rise of Rome",,1c5ca0aa8d51b84b15c275a4ee4c46a791cc29af,,,EMPIRESX,,,,,,,?,,,,,,,,,,,,
"Touhou 7.5: Immaterial and Missing Power",,1c9de40fe2357fcd248ca3f6267f6131053a0ebb,,,uninstall_th075e,,,,,,,?,,,,,,,,,,,,
"Baad Gringos",,1cab34c1bf6a8696aae8f8c5f739a0ec0605b161,,,"baad gm8",,,,,,,!,,,,,,,,,,,,
"Touhou 11: Subterranean Animism",,1d42c1fb0f342a7f41921044f881a008e9704dfd,,,custom_e,,,,,,,?,,,,,,,,,,,,
