"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Bung Enterprises Doctor V64 BIOS",,04d190968b19b5d28d3d613001bdc12d0d975ea9,,,,,,v1.53,1997,"Bung Enterprises",,?,,,,,,,,,@,,,
"Roadsters Trophy",,04f17a61daf3bf7f92db55b51b83237691671416,,,,,,,1999,Titus,us,?,,PAL,,,,,,*,@,,,
"GoldenEye 007",,0528d73659ef0ed8bbb0d519ebe667ee68377817,,,,,,,1997,Nintendo,eu,b,,,,,,,,,@,,,
@,,053140bd97c525804747251dea3211fe55357b77,,,"Nihon Pro Golf Tour 64",,,@,2000/05/02,Nintendo,jp,@,@,@,@,@,@,@,@,@,@,,,
"International Superstar Soccer '98",,053735184d414e0a1bbd888f3c931252ea1b92fd,,,,,,,1998,Konami,us,!,,,,,,,,,@,,,
"Pokemon Stadium 2",,05682e60b13479ca1c54656e5a5b1ee6d099c1a4,,,"Pokemon Sutajiamu Kin Gin",,,,2000,"Creatures | Game Freak | Nintendo",jp,!,,,,,,,,,@,,,
"!Public Domain",,05829c6efb0d73aec4093cc68eff9ed26591f922,,,"CFB Demo",,,,1998,Fractal,,?,,,,,,,,,@,,,
@,,05a0382ece2524f26b9b80918998858d0c68fa27,,,"ScummVM-N64: Flight of the Amazon Queen",,,v1.2.1,2010,"ScummVM Team",@,@,@,@,@,@,@,@,@,@,@,,,
"Star Fox 64",,05b307b8804f992af1a1e2fbafbd588501fdf799,,,"Lylat Wars",,,,1997,Nintendo,eu,!,,,,,,,,,@,,,
@,,05b7abce4fc41fd841afa150eb5f9cea014c37e2,,,ScummVM-N64,,,v1.1.0-agi,2010,"ScummVM Team",@,@,@,@,@,@,@,@,@,@,@,,,
"GameBooster 64",,05bb33d215716208335abb983d7be32ead8144f9,,,,,,v1.1_PAL,1998,Datel,eu,?,,Sound,,,Unlicensed,,,*,@,,,
"Bust-A-Move 2: Arcade Edition",,05c1d0fcff985c297964380fb41de9acefba49f7,,,,,,,1998,"Acclaim | Taito",eu,b,,,,,,,,,@,,,
"Wave Race 64",,05d40e57c9cb29a8992595afdde6653936e16729,,,,,,v1.0,1996,Nintendo,jp,!,,,,,,,,,@,,,
"Mace: Dark Age",,05d82a2c73ac536180b68137dbb9972a9e8e883e,,,,,,,1997,Midway,us,!,,,,,,,,,@,,,
"Mike Piazza's Strike Zone",,0611730a09f2e38f105692f3279c16bd436fac91,,,,,,,1998,"GT Interactive",us,?,,,,,,,,2,@,,,
"Dual Heroes",,061b7956c3aadddc6fdc11aab885f95a71b7f463,,,,,,,1998,"G.M.I. | Hudson",eu,!,,,,,,,,,@,,,
"Top Gear Rally",,0623109aaefcd7a636c722af9c9a1eb5de90779e,,,,,,,1997,Kemco,us,b,,,,,,,,,@,,,
Paperboy,,064f5b1d92e7922401fc813b47b3bc0634873a38,,,,,,,1999,"Atari | High Voltage Software | Midway",us,?,,,,,,,,2,@,,,
@,,06597dc935651f8995bfacc30fde6e621d44c3e1,,,"Conker's Bad Fur Day",,,Demo,2000,Rare,@,@,@,@,@,@,@,@,@,*,@,,,
"Hydro Thunder",,0661b1b0e47bc02d9b0d87d1688fd466793c074b,,,,,,,1999,Midway,eu,!,,,,,,,,,@,,,
"!Public Domain",,0663424bfb88eec3f0138aa66316bbad4c94e041,,,"Happy Birthday Steve",,,,1998,Neptune,,b,,,,,,,,,@,,,
"!Public Domain",,0675789b58d35e3e33fb7f1d25bc2f5cae1708cd,,,Neon64,,,v0.03,2002,"Halley's Comet Software",,?,,,,,,,,,@,,,
"Rat Attack!",,0682b6745832984f43652c0589e4ecf37f937790,,,,,,,1999,Mindscape,us,!,,,,,,,,,@,,,
"Vigilante 8: 2nd Offense",,06871f78e073125ca55a2df96a1abe238bd40658,,,,,,,1999,Activision,us,?,,PAL,,,,,,*,@,,,
"Jikkyou J.League Perfect Striker",,069482171a66fd68623f096866e50e3516a9689a,,,,,,,1996,Konami,jp,b,,,,,,,,,@,,,
"Super Smash Bros.",,06af809632bd7ec041de88943e246696873dafb5,,,,,,,1999,Nintendo,us,?,,*,,,,,,*,@,,,
@,,06c6e85acee75e05f7b1fcda224aa671c0318fe2,,,"Bung Enterprises Doctor V64 BIOS",,,v1.30,1997,"Bung Enterprises",@,@,@,@,@,@,@,@,@,2,@,,,
