"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Test Drive III The Passion + Road & Car",,00b4f3cd6d7f5fcfa98cabfec1a0f7030c133403,,,TD3UNP,,,,,,,?,,,,,,,,,,,,
"VGA Board: The Computer Medium",,00b5f6338387654730d8120247c2a9890fecb53d,,,INSTALL,,,,,,,?,,,,,,,,,,,,
"Adventures of Melvin Freebush, The",,00b9ed0a4c1a0bf715938b7307c109280a1b9a15,,,MELVIN,,,,,,,?,,,,,,,,,,,,
Troddlers,,00bd0fc47249e7b35834c93b180288aee7751be8,,,TRODDLER,,,,,,,?,,,,,,,,,,,,
"UFO: Enemy Unknown",,00c104ff7da28f5e6eacde1798fbe16fa9e70e10,,,parchedos,,,,,,,?,,,,,,,,,,,,
"Brett Hull Hockey 95",,00c47be6fe3382cc8d5b677b9923ab1f1a633382,,,HOCKEY,,,,,,,?,,,,,,,,,,,,
"Into the Storm",,00c664809225d7f872d335c351dec6f2a84b7163,,,SETUP,,,,,,,?,,,,,,,,,,,,
"Quake: Abyss of Pandemonium",,00c7ae60b6680a002c5affbc5eb8cb69ceb1b632,,,QLAUNCH,,,,,,,?,,,,,,,,,,,,
"Alien Quake",,00c7ae60b6680a002c5affbc5eb8cb69ceb1b632,,,QLAUNCH,,,,,,,?,,,,,,,,,,,,
"X-Men: The Ravages of Apocalypse",,00c7ae60b6680a002c5affbc5eb8cb69ceb1b632,,,QLAUNCH,,,,,,,?,,,,,,,,,,,,
Q!Zone,,00c7ae60b6680a002c5affbc5eb8cb69ceb1b632,,,QLAUNCH,,,,,,,?,,,,,,,,,,,,
"Malice: 23rd Century Ultraconversion for Quake",,00c7ae60b6680a002c5affbc5eb8cb69ceb1b632,,,QLAUNCH,,,,,,,?,,,,,,,,,,,,
"Aftershock for Quake",,00c7ae60b6680a002c5affbc5eb8cb69ceb1b632,,,QLAUNCH,,,,,,,?,,,,,,,,,,,,
