"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Ms. Pac-Man",,aad5c4b0b2e372f13ffa0a291023c9feee86785d,,,"Ms. Pac-Man",,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
Sentinel,,ab01ab13ce1bf9dd49fd162161c80c9c42999902,,,Sentinel,,,"Video NTSC; Language proto",1990,Atari,,b,"b 1",,,,,,,,,,
@,,ab08f92c6a9a3346cce40958ad6492e6af00acf1,,,"Mat Mania Challenge",@,,"Video NTSC",1990,Atari,@,,,,,,,,,,,,
"RealSports Baseball",,ab96b82d698bd59d07d8004f0445699e26137817,,,"RealSports Baseball",,,"Video NTSC",1988,Atari,,o,"o 1",,,,,,,,,,
@,,ad3002b9385d1df8c0066a407362a1261180e76f,,,"Atari 7800 BIOS",@,,"Video NTSC",1984,Atari,@,b,"b 1",,,,,,,,,,
"Water Ski",,ad52027a4ef5822ff126f3d74350b8215e863f89,,,"Water Ski",,,"Video NTSC",1988,Froggo,,o,"o 1",,,,,,,,,,
Meltdown,,af4598cea849790262c1ba308410dbf8195b72ec,,,Meltdown,,,"Video NTSC",1990,Atari,,b,"b 1",,,,,,,,,,
"Mario Bros.",,b0216f9979d0cf75d2f00c2715170b7acf3d92f9,,,"Mario Bros.",,,"Video NTSC",1988,Atari,,a,"a 1",,,,,,,,,,
Xenophobe,,b0499b57a42741ddd672ff7ff1b9ac3bc068ac58,,,Xenophobe,,,"Video PAL",1989,Atari,,,,,,,,,,,,,
"Tank Command",,b071ddbae6f71b93cf250af6940458e86b024e06,,,"Tank Command",,,"Video NTSC",1988,Froggo,,o,"o 1",,,,,,,,,,
"Klax: Impossible Level 1",,b7ba364bfcbf2b8a8c9b27d8ecf7d1da0a5827c8,,,,,,(Hack),,,,,,,,,,,,,,,
"One-on-One Basketball",,b89b8e550ae9c58880ef05e2e7d6ec6de40e96ce,,,"One-on-One Basketball",,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
"F-18 Hornet",,b9b673c6cc4abc1f1bfb0d27d07be72b9976a1dd,,,"F-18 Hornet",,,"Video NTSC",1988,"Absolute Entertainment",,b,"b 2",,,,,,,,,,
Klax,,ba3ad01a10ee7fecd44d530bfd1f6899f1f96ce2,,,,,,"(1992) (Atari) (Prototype) [f1]",,,,,,,,,,,,,,,
@,,baa7f957db2f4f9165a75b0f77866b5f99312769,,,"Winter Games",@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
"Desert Falcon",,bbb8aa88879f2ec6039673ccdbbebebc565346bc,,,,,,"(2004) (Atari) (HSC Hack)",,,,,,,,,,,,,,,
Gato,,bc8ee7adeb01c875eeeda51d707c533cc4329668,,,,,,"Video NTSC; Language proto",1987,Atari,,a,"a 1",,,,,,,,,,
"Impossible Mission",,bdbc60df4fe04072f41b408d5ed97487db9abe34,,,"Impossible Mission",,,"Video NTSC",1987,Atari,,,,,,,,,,,,,
"Ninja Golf",,bf0801510a0835e327b1b2edd2d56399551bc047,,,"Ninja Golf",,,"Video NTSC",1989,Atari,,,,,,,,,,,,,
Sentinel,,bf414ce1962f57016b26f545321d49fe13cf1e1e,,,Sentinel,,,"Video PAL",1991,Atari,,b,"b 1",,,,,,,,,,
