"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,4e4ed7aaa3997b5c044bf9759f34e3d9e959f183,,,ZZZ-UNK-Chopper,,,,2005,"Higgs, James",,,,,,,,,,,,,,
"Play Sound Sample",,4ffadabcc5633a3ef62cac4f1bce3ce0ebf52498,,,,,,,1996,PD,,,,,,,,,,,,,,
Basketbrawl,,50c1858e71b40d2d986b666a1c59335274ecd8d8,,,,,,,1992,"Atari Corp",,b,,,,,,,,,,,,
"C65: Demo2",,511024942dda8cbc9b1c78440987f79bf0a1be18,,,,,,,1998,,,,,,,,,,,,,,,
"Blue Lightning",,52764c6db959a1340e8f60d069b045229edd37d6,,,,,,"Demo 1",1989,"Epyx Inc",,,,,,,,,,,,,,
Rampage,,52a0bf6aa79be75c7f97e4f2998469fb8f1c1596,,,,,,,1991,"Atari Corp",,,,,,,,,,,,,,
"Double Dragon",,52f841faa4ffa234144a78073a066bc636376248,,,,,,,1993,Telegames,,b,,,,,,,,,,,,
"Mini Demo 3",,534b3c512f0958918b9700002e6047492948734a,,,,,,,1998,,,,,,,,,,,,,,,
@,,548a008b096efa113d5231e079667398f0436f8c,,,"Banana Ghost",,,v0.1,2021/12/11,Bjorn,,,,,,,,,,,,,,
@,,54bcb26a278a422ede61e1b333e8ebb89e8732b9,,,"Gift Catcher",,,,2020/12/13,"Dr. Ludos",,,,,,,,,,,,,,
Xybots,,554b9bb0290f1ea1683e090886b837765eed7f0a,,,,,,,1991,"Tengen Inc",,b,,,,,,,,,,,,
"Para Lemi!",,555709c3948c661d4287c0c25958e7aaa3e432f9,,,,,,v001,1997,,,,,,,,,,,,,,,
@,,558b370f46f63f1c31cc3f7631a70823a5a95035,,,Timeloop,,,,2020/08/12,"Dr. Ludos",,,,,,,,,,,,,,
"Para Lemi!",,563af97c80ec511ecfa45855241356d1bd9b2dc4,,,,,,v005,1997,,,,,,,,,,,,,,,
"Clicks Demo 6",,565cdc8f04477652133766f3c383883d92f6e0c3,,,,,,,2001,"Domin, Matthias",,,,,,,,,,,,,,
"Break Point Test",,566ce0249f25d45dd8fdd60ae96b3198c8b72076,,,,,,,199x,,,,,,,,,,,,,,,
"Dungeon Routine 1",,5682a16adaeebb34c7f71810defed66723b28050,,,,,,,1997,"Domin, Matthias",,,,,,,,,,,,,,
Snakebyte,,5693907f89f9d29b293b01cb107177650394b8e5,,,,,,,199x,"Domin, Matthias",,,,,,,,,,,,,,
"Jimmy Connors Tennis",,573eb78247f1d7b411fe6faa04d45eeff84f884d,,,,,,,1993,"Atari Corp",,b,,,,,,,,,,,,
@,,57819a935bfcbf5b13ac364df966b6c41a3886bf,,,Lexis,,,,1994,"Shadowsoft Inc",,,,,,,,,,,,,,
@,,5819effc8768761502114374afc33b299896f050,,,"3D Demo",,,,19xx,@,,,,,,,,,,,,,,
"Dirty Larry: Renegade Cop",,59577b594445090a0da1416fded2a970cb3d2bd6,,,,,,,1992,"Atari Corp",,,,,,,,,,,,,,
"Road Blasters",,5b561875daf5ecd6399a2929700363d238fbaf4c,,,,,,,1990,"Tengen Inc",,b,,,,,,,,,,,,
@,,5c0a524fd55c1048c1e6202d5a0bdba2ed335ecf,,,"Dirty Larry: Renegade Cop",,,,1992,"Atari Corp",,,,,,,,,,,,,,
"C65: Mandelbrot",,5c3589944b8e1aaf3da18073b854c4a17490b530,,,,,,,1998,,,,,,,,,,,,,,,
"Zarlor Mercenary",,5c3aaeffc70eb03fd31eb846cc1e108db86c5e15,,,,,,,1990,"Epyx Inc",,,,,,,,,,,,,,
Electrocop,,5c3fa6a1daed62d541456451cc533de766361174,,,,,,,1989,"Atari Corp",,,,,,,,,,,,,,
"Gordo 106: Mutated Lab Monkey",,5c8b784b7089231cc96c589aca72c079c4e9b980,,,,,,,1992,"Tenth Planet",,b,,,,,,,,,,,,
Hydra,,5ceb3ad748cd42e181067a191e2b0dccc0325057,,,,,,,1992,"Tengen Inc",,,,,,,,,,,,,,
"Demo 6",,5d61db4604c7f99700827c0d22bff2d8e0152fdf,,,,,,,1996,PD,,,,,,,,,,,,,,
"Scrapyard Dog",,5d6d898c75a7eaa65c2a0408588a4fe68d9dbd43,,,,,,,1991,"Atari Corp",,b,,,,,,,,,,,,
"Baseball Heroes",,5e116d56e1642f107e15bb943416655917fbd607,,,,,,,199x,,,b,,,,,,,,,,,,
@,,5e7a9f4334660133bfa9432030fcdcbd433074bc,,,"Cross Bomber",,,,2022/04/22,"Caruso, Fabrizio",,,gfx,,,,,,,,,,,
"Corridor Routine",,5f4f768d077e04545e32d593babab00894895c3b,,,,,,,1998,"Domin, Matthias",,,,,,,,,,,,,,
"Puzzler 2000: Entertainer Music",,64286b7866d5906c0e63470e5250dd571639f771,,,,,,,1998,"Wuhl, Markus",,,,,,,,,,,,,,
"Demo 5",,64ac16c265f6bd3efc8b67fdf3cf40cf42371137,,,,,,,1996,PD,,,,,,,,,,,,,,
"C65: Mazedemo",,65f05a9e352be9290096456ff44adea86326ce80,,,,,,,1998,,,,,,,,,,,,,,,
Joust,,667a5e64033076a242297aa846001ab4475e1472,,,,,,,1993,"Shadowsoft Inc",,,,,,,,,,,,,,
Klax,,66a04e14e07367a59fb979b25915008ac1602233,,,,,,,1990,"Tengen Inc",,,,,,,,,,,,,,
"Mini Demo 2",,677722508df2d23699025872c186844cb722ffb4,,,,,,,1998,,,,,,,,,,,,,,,
"Chip-8 Emulator",,680753391c52a2c2ff97c0536ac715d5704b4190,,,,,,v0.1,2004,,,,,,,,,,,,,,,
"All Points Bulletin",,699443a08e04718e4d982a3b4189c6dce8badc1c,,,,,,,1990,"Tengen Inc",,b,,,,,,,,,,,,
"Gates of Zendocon",,69a920cf25bc1f1b9c47e4f420f9df5d3a1a15ac,,,,,,,1989,"Epyx Inc",,,,,,,,,,,,,,
"Bubble Trouble",,6a118f9a60ca99c3f6af4a4281a21ab2e3a366b3,,,,,,,1993,"Lore Design Ltd",,,,,,,,,,,,,,
@,,6a77f58847169f8194a4db4ef0d9275ca94f2b12,,,Starblader,,,v0.4,2021/04/04,Retroguru,,,,,,,,,,,,,,
"Eye of the Beholder",,6c37e1f220e73ff784b90c81846cebe4db0ab3bc,,,,,,proto,1990,"Atari Corp",,,,,,,,,,,,,,
Raw,,6c93c9f58d65a9682ecc0e81a5310ec51ff115ec,,,,,,,1997,,,,,,,,,,,,,,,
"Sound Demo",,6cd6a76bd4fc16bec053ec9198a11c4797e6ec13,,,,,,,1997,PD,,,,,,,,,,,,,,
"C65: Demo1",,6d28749e17f48a1b854dccf1918adec24edda3f1,,,,,,,1998,,,,,,,,,,,,,,,
"Lode Runner",,6e81cafd17c5252e59f03fb1bfc7b90736bb7fd3,,,,,,,1996,"Broderbund Software",,,,,,,,,,,,,,
Xenophobe,,6ee8655770034ddaedaf9df9db46bad07009c3a1,,,,,,,1990,"Atari Corp",,,,,,,,,,,,,,
"256 Color Mandelbrot Demo",,700eb6f1e39d9fa10565419eec4d20ae8286aea2,,,,,,,1998,"Schick, Bastian",,,,,,,,,,,,,,
"Ninja Gaiden III: Ancient Ship of Doom",,70f4115a92e3fdc4c93339ac801976a7697397ba,,,,,,,1993,"Atari Corp",,,,,,,,,,,,,,
"Insert Game Screen",,7145496fc38ee5a8bf56b86e7600b4d813a4a2c5,,,,,,,199x,PD,,,,,,,,,,,,,,
"Sprite Demo 4b",,735ed57dc63c5267c2aed851e8345cd00e6ffcd4,,,,,,,2000,"Domin, Matthias",,,,,,,,,,,,,,
"Raw Draw Test",,749b3e00128ef4b29481d49dd6d14ccbe55a035e,,,,,,,199x,,,,,,,,,,,,,,,
Raiden,,752a58e02787afc145f5245aec3577ad4bff954e,,,,,,,1997,"Atari Corp",,,,,,,,,,,,,,
"Hard Drivin'",,758ac32ef7c1aa7ad96393236795d70058d9af2c,,,,,,,1993,"Tengen Inc",,,,,,,,,,,,,,
T-Tris,,75c2f2853996dcaf73a014a6f03b6590108b8d59,,,,,,,1993,"Bastian Schick",,,,,,,,,,,,,,
"Demo 2",,760341e015f45ce4fbf08455affa4e02ed7cda11,,,,,,,1996,PD,,,,,,,,,,,,,,
"Awesome Golf",,765f2360e1f13064ff225c9474cfcd0cc20594da,,,,,,,1991,"Atari Corp",,,,,,,,,,,,,,
"BRK Server Installer",,767b2ed5963d350b93f51b198d47b1d38d7935d6,,,,,,,1996,"Schick, Bastian",,,,,,,,,,,,,,
"NFL Football",,76b4d3c29c1e68c8a62cc2913daf4884c3913b62,,,,,,,1990,"Atari Corp",,b,,,,,,,,,,,,
@,,76c4e534bbd1399c90f9425389b9304af63735c0,,,"Krazy Ace Minature Golf",,,,1992,Telegames,,,,,,,,,,,,,,
"Battle Wheels",,770b693dfac8833eaa1446ee7218f653b10c366f,,,,,,,1993,"Beyond Games",,,,,,,,,,,,,,
@,,772d4b35c1717b5da7820b135056bfe16e08aaf5,,,"Battlezone 2000",,,,1993,"Atari Corp",,,,,,,,,,,,,,
@,,7906ab0dadb57f7a2e180499fe9eeb4c576a15ac,,,"Leaf and the Forgotten Temple: Ynxa Version",,,,2020/04/03,Fadest,,,,,,,,,,,,,,
"World Class Soccer",,795c4505016f6592a5610683c1cbf3923461972b,,,,,,,1992,"Atari Corp",,b,,,,,,,,,,,,
