"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Castelo Ra Tin Bum",,1789c6eac85bd8f3d6b3aa0871c70e22776312a3,,,"Castelo Ra-Tim-Bum",,,,1997,"Sega - Tec Toy",br,b,"b 1",,,,,,,,,,
@,,181dd6904dc58abc20aced3c8177881cbfb5e48d,,,Frogger,@,,"v 0.92",2005,"Covell, Chris",@,,,,,,1,,,,,,
"Public Domain",,185575d35e32cd9280015a4b63a4b24c3179f220,,,"FudeBrowser: Expo SALT Logo",,,"(SG-1000) (PD)",,,,,,,,,,,,,,,
"Street Fighter 2",,1866752a92abbf0eb55fbf9de1cd1b731ec62a54,,,"Street Fighter II'",,,,1997,"Capcom - Sega - Tec Toy",br,,,,,,,,,,,,
"Global Defense",,189ee1d4250a1f33e97053aa804a97b4e1467728,,,"Global Defense",,,,1987,Sega,,,,,,,,,,,,,
"Great Golf",,1980cbcc398d443cd96cc75de4deb62c8c5626d3,,,,,,"(UE) (V1.1) [o1]",,,,,,,,,,,,,,,
@,,19a82099f0277264ce518bd9dd86235016f7abf7,,,"Agigongnyong Dooly",@,,,1991,"Daou Infosys",kr,,,,,,,,,,,,
H.E.R.O.,,19acb69b7b64da5083349d8bc40a47beacc88c41,,,,,,(SG-1000),,,,,,,,,,,,,,,
Hang-On,,1a3892d49e2c8107641ac601e7d4f04558e2e28c,,,Hang-On,,,,1985,Sega,,b,"b 1",,,,,,,,,,
"Penguin Land",,1a59ed9f6c3ef7ded27135a4e905ca2edbbe94bf,,,"Penguin Land",,,"v rev1",1987,Sega,,b,"b 1",,,,,,,,,,
@,,1b2b525ef2ab2d7ea3f934f0c229dab33af56d90,,,"Jang Pung 3",@,,,1994,"Open Corp - Sieko",kr,,,,,,,,,,,,
"Asterix and the Secret Mission",,1b4f7eca8a3f04ead404e6f439a6c49a0d0500df,,,"Aventuras da TV Colosso, As",,,,1996,"Sega - Tec Toy",br,,,,,,,,,,,,
"King's Quest: Quest for the Crown",,1b6330199444e303aafb9a2fd3f2119cedab0712,,,"King's Quest",,,(beta),1989,"Parker Brothers",us,,,,,,,,,,,,
"Public Domain",,1bf83f9be51226d3311aa604e30b39a20c1a1fdc,,,Blockhead,,,"v 1.0; Copyright Public Domain",2004,"Proppy - Tet",,,,,,,,,,,,,
Hook,,1c1b24f91c3b244e7307320f617755332b1de09c,,,Hook,,,"Language proto",1992,"Core Design - Sony - Spidersoft",,,,,,pt,,,,,,,
"Street Fighter 2",,1c1dc1354148f173b1f6c59cd9f1ea7059d73bd0,,,"Street Fighter II'",,,,1997,"Capcom - Sega - Tec Toy",br,b,"b 1",,,,,,,,,,
"Bubble Bobble",,1cb40bf697374c73b89623fef49951b9622a0d96,,,"Final Bubble Bobble",,,"Language en",1988,Taito,jp,,,,,es,,,,,,,
"Ninja Gaiden",,1cde5cf83c59f2b8dad512b66413c0b6932d04fa,,,"Ninja Gaiden",,,(beta),1992,Sega,,b,"b 1",,,,,,,,,,
"Blade Eagle 3D",,1d0ca7f98a3cfc11388d375ee980fb3ea1968d97,,,"Blade Eagle",,,,1988,Sega,,a,"a 1",,,pt,,,,,,,
"Safari Race",,1d2ca62c894fc8aab97605e65078e834bbbe3d8b,,,,,,(SG-1000),,,,,,,,,,,,,,,
@,,1d86d1052f9e56c795b3489cf15957f79ada31f1,,,"Wonder Boy",@,,"v rev1",1986,Sega,@,b,"b 1",,,,,,,,,,
@,,1dae4088a7bf0138e8f6128d37b90aa705f8ac51,,,"Suho Cheonsa",@,,,1994,"Open Corp",kr,,,,,,,,,,,,
"Pachinko 2",,1dbc4babbbb377a1ff59a11e550a9b1b5e742b02,,,,,,"(SG-1000) [!]",,,,,,,,,,,,,,,
"Bubble Bobble",,1dd0fa2949504a5ae3e4b772318000f27c4b548a,,,"Bubble Bobble",,,,1991,Taito,,,,,,fr,,,,,,,
"Public Domain",,1dfda4bc44f1cdc54ab92bb31df54365edd385ae,,,"Artillery Master 8k",,,"v 0.9; Copyright Public Domain",2006,"Pinheiro, Haroldo",,,,,,,,,,,,,
"Zillion II: The Tri Formation",,1e08be828ecf4cf5db787704ab8779f4b5a444b5,,,"Tri Formation",,,,1987,Sega,,,,,,,,,,,,,
"Psychic World",,1e0cdc4d288b3dbe0839a9d3da4c7beeed9657f0,,,"Psychic World",,,,1991,Sega,,,,,,de,,,,,,,
Pac-Mania,,1edad7140116429fffb186762fafd28188ef3b05,,,,,,"(E) [b1]",,,,,,,,,,,,,,,
"Pro Yakyuu Pennant Race, The",,1ee602f8711d82d13b006984cef95512a93c7783,,,"The Pro Yakyuu Pennant Race",,"Pro Yakyuu Pennant Race, The","Language en,ja",1987,Sega,jp,,,,,,,,,,,,
"Cloud Master",,1f07da14310bdb244be18d94a64b192934687996,,,"Cloud Master",,,,1989,Hot-B,,,,,,fr,,,,,,,
"Hustle Chummy",,1f1bad94b2d869c10a2373ca40d4076d227cc302,,,,,,"(SG-1000) [!]",,,,,,,,,,,,,,,
"Alex Kidd in Miracle World",,1f500a381cb2322fc3b13d0e9e2e766d31c5043b,,,"Alex Kidd in Miracle World",,,"v rev1",1986,Sega,,,,,,pt,,,,,,,
"Global Defense",,2000b3b291dd7b76c3b8801a88fb0e293ca7e278,,,S.D.I.,,,"Language en",1987,Sega,jp,,,,,,,,,,,,
20-em-1,,2012763dc08dedc68af8538698bd66618212785d,,,"20 em 1",,,,1995,"Tec Toy",br,,,,,,,,,,,,
@,,202cc058ba46cc466387a67cce2ab7f5f55977d0,,,Xyzolog,@,,,19xx,Taito,kr,,"[MSX port]; [AKA XY Rogo]",,,,1,,,,,,
"Public Domain",,2067fd259798c8c26492c160ea61384a01c8df26,,,"Page Frame Register Detect",,,"v 1.00; Copyright Public Domain",2001,"Quinn, Eric",,,,,,,,,,,,,
"Dead Angle",,20aff3ef3287f19e41e0958e0e922bfab5c8ca75,,,"Dead Angle",,,,1989,Sega,,b,"b 1",,,,,,,,,,
"Winter Olympics '94",,20b73d53e6868957f07b1a813b853943bfb90307,,,"XVII Olympic Winter Games, The: Lillehammer 1994",,,,1993,"U.S. Gold",m8,,,,,,,,,,,,
@,,20f209bef33d7c864710736131608213d25559ac,,,"Double Dragon",@,,,198x,Samsung,kr,,,,,,,,,,,,
@,,21d7e4d99b1d35ad7c169cc16162a0873661fcd4,,,"Olympic Gold",@,,,1992,"U.S. Gold",eu,,,,,,,,,,,,
@,,21e347425dbe784e3cee37000ab7a1ce5e594355,,,"Wonder Boy",@,,"v rev1",1986,Sega,@,b,"b 3",,,,,,,,,,
"Wonder Boy in Monster Land",,22335dd5b85b312db33edd2f11dbefc5d0bae69e,,,"Wonder Boy in Monster World",,,,1993,Sega,,,,,,,,,,5,,,
"Slap Shot",,2259dcf3ce702b5ddc8d0a5ed335263f45ecd2ce,,,"Slap Shot",,,"v rev2",1990,Sega,us,,,,,,,,,,,,
"Ys: The Vanished Omens",,2288827eeb2afecd62c0d0288a482d66208fd94a,,,"Ys: Ancient Ys Vanished Omen",,,"v rev1",1988,"Falcom - Sega",,,,,,fr,,,,,,,
"Tom and Jerry: The Movie",,229765ece83a84ea4f1f01be2e54f0a346d841e5,,,"Tom and Jerry: The Movie",,,,1992,Sega,,b,"b 2",,,,,,,,,,
"Incredible Hulk, The",,235ad7d259023610d8aa59d066aaf0dba2ff8138,,,"The Incredible Hulk",,"Incredible Hulk, The",,1994,"Probe - U.S. Gold",,,,,,,,,,,,,
@,,238d71f12bdfed679875c472f0e5663e651e9d5d,,,Hang-On,@,,,1985,Sega,@,,,,,pt,,,,,,,
"Golden Axe Warrior",,23e474361f17b5de674162dcc8ad8ffc6eed708b,,,"Golden Axe Warrior",,,,1991,Sega,,,,,,fr,,,,,,,
"Ghost House",,2429975b0937144f0149834ad52dc921ff3a6113,,,"Ghost House",,,"v rev1",1986,Sega,,b,"b 1",,,,,,,,,,
