"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Clue,,04d73be5550ef0fdb43d55df7a418b2ba92a1922,,,,,,,,,us,,,,,,,,,hI,,,,
@,,04ed43ead05ae3c550522b6186063eb4450cbf19,,,Masiakia,,,,2017/08/19,Resistance,,,,,,,,,,,,,,
"Body Count",,05164a70f2628d5d0202a3837c457b01b5a3e835,,,,,,,,,eu,b,,,,,,,,,,,,
"Decap Attack",,052641f6f5e6a4e8f5a9649da6e3d869849ae827,,,"Magical Hat no Buttobi Turbo! Daibouken",,,,1990/12/15,Sega,jp,b,,,,,,,,,,,,
Battletoads,,053aec63cc7ae74130404ce2557c7efb45150fe4,,,,,,,,,xw,b,,,,,,,,,,,,
Stormlord,,053e58f9bf4d38dc1eaff855a0863725f473e695,,,,,,,1991,RazorSoft,us,,,,,,,,,2,,,,
"Xenon 2: Megablast",,055b554f7d61ed671eddc385bce950b2baa32249,,,,,,,1992/02,Virgin,eu,,,,,,,,,,,,,
"Castlevania: Bloodlines",,055d17d26885e0cd2344431c21d46764383a6d70,,,,,,,,,us,b,,,,,,,,,,,,
"Jelly Boy",,056f5f131cfebf404728fa3ebb334a224490c033,,,,,,Beta,,,,,,,,,,,,h2C,,,,
@,,057535c98f17fb6d0ba136c5e9715c4ae6218ff4,,,"Battletoads & Double Dragon: The Ultimate Team",,"Battletoads and Double Dragon - Ultimate Team",,1993/12,Tradewest,us,,,,,,,,,TI,,,,
@,,05791075c5e8b9e14451429efce20a1cfbafc84a,,,"Battletoads Remastered",,,v0.1,2011/06,Segaman,,,,,,,,,,Battletoads,,,,
Technocop,,057e990196caed72f7a71a9234439b3613ef1af5,,,,,,,1991/01,Sega,us,,,,,,,,,1,,,,
Skitchin',,058287cfdb89cae8015bdec15629b746e17692eb,,,,,,,1994/03,"Electronic Arts","eu,us",,,,,,,,,1,,,,
"Yuu Yuu Hakusho: Makyou Toitsusen",,05900e46e5cd0d102f4b653b9889ce348033e5ad,,,,,,,1994/09/30,Treasure,jp,,,,,,,,,2,,,,
"BattleTech: Game of Armored Combat",,0593662169e7ed785c9ade73b08f73b2c73f53fa,,,,,,,1994/09,"Extreme Entertainment Group",us,b,,,,,,,,,,,,
"Samurai Shodown",,05989e09f5eca40e5928d791020d6cb8f32b8aad,,,,,,,1994,"Sega - Takara",us,b,,,,,,,,,,,,
"Chase H.Q. II",,0598e452e3d42b5e714bf5b32834000607483813,,,"Super H.Q.",,,,1992/10/23,Taito,jp,,,,,,,,,,,,,
"Marble Madness",,059e99fde8726a45a584007186913eb9a01f738e,,,,,,,1991/11,"Electronic Arts","eu,us",,,,,,,,,,,,,
"Public Domain",,05c074e7a3e42148cc2ce459a1baf3928d9e492a,,,"Windows 68K Edition Setup Demo",,,,2005,"Maneiro, Tom",,,,,,,,,,,,,,
"True Lies",,05ccd6d7c81d3ab47184ea72d2d741da5bc90790,,,,,,,1995/03,Acclaim,,b,,,,,,,,,,,,
"Sonic The Hedgehog 2",,05de050a79792164a3a4227bf2bf2e845d9d7384,,,,,,vRev1,1992/11/21,Sega,,,,,,,,,,23,,,,
