"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
RWBverVP6L,,2ce167df6aad964b2f985ecd986bead16c6cde94,,,,,,,,,,?,,,,,,,,,,,,
Apollo_RC2,,2d41687fd154f596094111848b1935d57ab36a82,,,,,,,,,,?,,,,,,,,,,,,
Pink.Panther.Gottlieb.1980.v1.3.VPM,,2d4c63365d5f42a13a31adfff9525735ae5ffaf7,,,,,,,,,,?,,,,,,,,,,,,
"Victory 0.20b",,2d70602ec143e357978582ffb4d6f6ff7711d35b,,,,,,,,,,?,,,,,,,,,,,,
"Hot Hand 1.0",,2da19b2943101293b771b9eb8f606d1560a7d003,,,,,,,,,,?,,,,,,,,,,,,
"Rock RC2",,2ded9e3a269c9fc67dce6eee2799ad47811ea7cb,,,,,,,,,,?,,,,,,,,,,,,
"Balls A Poppin'",,2f55cf8754d6331109846e8aca7bf713890ec10c,,,,,,,,,,?,,,,,,,,,,,,
"dragon's castle",,2fd3fac7d19d9b86e28e57cef4e4dc7ea485d436,,,,,,,,,,?,,,,,,,,,,,,
"Kiss 1.0",,2fda6c96090a6b1abc57a9c7aec21a80a460d446,,,,,,,,,,?,,,,,,,,,,,,
"Punk 1.0",,2fddc7480df560fac841fa0b2120e8c47b06a638,,,,,,,,,,?,,,,,,,,,,,,
Trident,,3017eb2a1d76f4c369aad445b5861e426d3d6c30,,,,,,"(Stern 1979)",,,,?,,,,,,,,,,,,
AlienReactor,,3078ba8add424642f62c763bcc0d5858e6a92511,,,,,,,,,,?,,,,,,,,,,,,
"Strikes and Spares 1.0",,30ffa2cbd3ceb76fc6b84542652f5b1c475bd809,,,,,,,,,,?,,,,,,,,,,,,
"Pinbot 1.1",,3115c0bfade3a120cb8561fa00c41ff33f64719d,,,,,,,,,,?,,,,,,,,,,,,
"Popeye Saves the Earth 3.1",,330c79ff0cb352799a1d2df4323ed90b32ddb3a8,,,,,,,,,,?,,,,,,,,,,,,
"Mars: God of War 0.75",,335635639ed1e7357e82db8d903ba6d368d6ae1b,,,,,,,,,,?,,,,,,,,,,,,
"Genesis 2.0",,343ec52c89e953a42cbb4ee220c59186bae7434e,,,,,,,,,,?,,,,,,,,,,,,
PartyLand,,34a5855a9ef9c8528e164ea9aad991681e3dac2e,,,,,,(2),,,,?,,,,,,,,,,,,
"Minstrel Man",,3519504af6c2bf4eaf22e8fcd2912fae89efe0fe,,,,,,"(Gottlieb 1951)",,,,?,,,,,,,,,,,,
"Ready Aim Fire",,357c38f4fe547db7553cbf095dbe3bdf37a5467d,,,,,,(Gottlieb),,,,?,,,,,,,,,,,,
"Harlem Globetrotters 1.0",,357e8b7493609830d99346dcafae56e59bf75ff6,,,,,,,,,,?,,,,,,,,,,,,
"Hollywood Heat 0.99",,3689f5d223b5dcc02e1ff5daafab9ac25e2b8cda,,,,,,,,,,?,,,,,,,,,,,,
Rescue911_V1.0,,36cb0491fc91140797ef37ccab83fc359a515d56,,,,,,,,,,?,,,,,,,,,,,,
DeuceWild,,36cd208caf8566d9ae7c953e782e8f2fdf8c82b7,,,,,,,,,,?,,,,,,,,,,,,
"vpdisco Demo",,3717bad1a0d7762a0a1d60e5f402d4ef85286ad6,,,,,,,,,,?,,,,,,,,,,,,
"Nugent 1.0",,37e5f83bb15063a88769a04932fb680077bf48e2,,,,,,,,,,?,,,,,,,,,,,,
"Earthshaker 0.95b",,380e730d4c52ea7053e30f5c98d4a322754a9a73,,,,,,(DMod),,,,?,,,,,,,,,,,,
"Mike Bossy: The Scoring Machine",,388c0936d8eaecb731dbfccb9202544413873885,,,,,,"(GamePlan 1982)",,,,?,,,,,,,,,,,,
rockola1.9,,38ca89010c3effaf440861d97278719cef42f926,,,,,,,,,,?,,,,,,,,,,,,
"Beat The Clock 1.2",,391c1b58063d382467262c9eb152fee9c9d15981,,,,,,,,,,?,,,,,,,,,,,,
EightBallChampVPM4_0,,3963dca8381d9b881cd510c77606e0174fea06e7,,,,,,,,,,?,,,,,,,,,,,,
"Daffy Derby Deluxe",,3a49802fddb693315b41ff59e55aa9b13051440d,,,,,,"(Williams 1954)",,,,?,,,,,,,,,,,,
"Transporter the Rescue RC1",,3a7308db60eeee19f81a63c91d2baa80c9a9e471,,,,,,,,,,?,,,,,,,,,,,,
"T2: Judgement Day 1.2",,3a79f7bba142613b7a55c0a9908e6db31cdc573b,,,,,,,,,,?,,,,,,,,,,,,
"Fire Action",,3abac5bcbab1a311aee446302d2d845635948c90,,,,,,,,,,?,,,,,,,,,,,,
Doom_122,,3aeaa3cdb6b7b66728955f6f01d945fd808a35a8,,,,,,,,,,?,,,,,,,,,,,,
"Back to the Future 1.1",,3b010f8a9992ed75caed37f16b34fca5339978ab,,,,,,,,,,?,,,,,,,,,,,,
CloverleafVP6L,,3b0db29221c4ef2102aee5bed8e6e4b52ede5152,,,,,,,,,,?,,,,,,,,,,,,
"Stingray 1.1",,3b21f39db2ea954ec266bc0cd9a22b44b5d28312,,,,,,,,,,?,,,,,,,,,,,,
Nags,,3b6fb57c25f010c7d7db340369db59cdc57e2a20,,,,,,"(Williams 1960)",,,,?,,,,,,,,,,,,
Xenon,,3b976c1138898dcf1e7abf9e58631e9d3d75ee32,,,,,,"(Bally 1980)",,,,?,,,,,,,,,,,,
"PM Monday Night Football",,3b9d45631d013132ce77f2c6d7ffc096ca593536,,,,,,,,,,?,,,,,,,,,,,,
broncobuster2,,3be43ffa2f1eb8055ebda0e47e404c8b5cc57280,,,,,,,,,,?,,,,,,,,,,,,
"Rolling Stones",,3bf7bad4e51dd2d66ecc9c324565e3207fca3dd4,,,,,,"(Bally 1979)",,,,?,,,,,,,,,,,,
"Indy 500 1.41",,3ddaaedbbd5d33fe0fafad82be4276779d5fcd59,,,,,,,,,,?,,,,,,,,,,,,
ShootingGallery,,3f69c8d9915dd1dc5fa3daaaa6b070c1007a71cf,,,,,,,,,,?,,,,,,,,,,,,
"1937 World Series",,3fd661d0c02b4afee54eb1e0ba65bccd3509b841,,,,,,(Rockola),,,,?,,,,,,,,,,,,
"Harley Davidson",,4062555405b8ace5535af4488d4e1880c71624c1,,,,,,,,,,?,,,,,,,,,,,,
"Big Hit",,407864a2ae76a5787d23450864aa4962e27b9abf,,,,,,"(Exhibit Supply 1946)",,,,?,,,,,,,,,,,,
"Comet 1.0",,40dcf94a45fed32aeca89df949507e92f51d7f2f,,,,,,,,,,?,,,,,,,,,,,,
Aztec_RC2,,41206a1b43555b00d55792ab2acc2a8d28910496,,,,,,,,,,?,,,,,,,,,,,,
Lite-A-Line,,4132fe6122257ca617309b739bd9d2026f1fb14a,,,,,,(Keeney-Bingo-1952),,,,?,,,,,,,,,,,,
rockyv1,,42a828d93a9e8f5b601c88b2285327efb4e79d6c,,,,,,,,,,?,,,,,,,,,,,,
"Bad Cats 3.0",,42ce2019070e3629dde95b5375a054795084350d,,,,,,,,,,?,,,,,,,,,,,,
Indy500_11,,434ccf13f52f6eef2cb5a01dcc4aa52eb7b16d9f,,,,,,,,,,?,,,,,,,,,,,,
"Apollo 13 b7",,4428558d85247f738d63a9f2627ef366f5e15e9f,,,,,,,,,,?,,,,,,,,,,,,
Skyway,,44b8464b307f7f5980e9ffd6ff811cf893e4a36c,,,,,,"(Williams 1954)",,,,?,,,,,,,,,,,,
"Hayburners I",,44c02f161b534c6fda45a6e5da941409d5aab0a4,,,,,,"(Williams 1951)",,,,?,,,,,,,,,,,,
MidnightMagic,,44cba9b1af995532a935685c7d72be885d5d31a8,,,,,,,,,,?,,,,,,,,,,,,
Andromeda,,45c2a4c97fd5579860df523ba1eef2cf7c130afd,,,,,,,,,,?,,,,,,,,,,,,
"Spectrum 1.0",,46c2a38bf31675f08756d366123cc9e1f541cfe6,,,,,,,,,,?,,,,,,,,,,,,
timefantasy1,,47e66cc4ac14c2589c4ebf8ac7d37d72d8de2061,,,,,,,,,,?,,,,,,,,,,,,
BADCATS,,47f1b44db3fc96f1bb570e2df517b1bf1df34359,,,,,,,,,,?,,,,,,,,,,,,
"Arabian Knights",,482efaa7b34d5cab860c2a1d5aa5029a09d1730a,,,,,,"(Gottlieb 1953) 2",,,,?,,,,,,,,,,,,
"Kill Em All",,499728b47fa6f582e83c1e7b5626cfa19d5137d8,,,,,,,,,,?,,,,,,,,,,,,
AtlanticCity1.3,,49a79e316382ec8b76ac32e689b2c3e5a2cf0c2a,,,,,,,,,,?,,,,,,,,,,,,
"Rack 'Em Up 1.0",,49d2f3a907209d69b01d380c390b5ab96d033a5a,,,,,,,,,,?,,,,,,,,,,,,
