"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,af7c4b00a5f5376a0da8399e748e36787002a9dd,,,GoSub,,,"v20090422 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
"Virtual-E Cursor",,af91db46e0dd383208d0f8d825dc13448059fc43,,,"Virtual-E Cursor Demo",,,,1999,"Covarrubias, Alberto",,,,,,,,,,,@,,,
"Nester's Funky Bowling",,b0e0fb665b863532d4adef427d38e46aa78c60a2,,,,,,,1996,Nintendo,us,,,,,,,,,,@,,,
@,,b292403cba6407d0859cc559391a8ce07238583e,,,GoSub,,,"v20090419 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,b4e812c826210bc0b0fcafdc21bf44ed4345ba88,,,GoSub,,,"v20090728 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,b5237ece496e55520828ea2fdcfb3d8334fc4e8f,,,Hunter,,,,2010,DanB,,,,,,,,,,,@,,,
@,,b54d61508265e23b0979ad1ac116b2785eaad905,,,"The Matrix Code Demo",,"Matrix Code Demo",,2003,Cooler,,,,,,,,,,,@,,,
@,,b55aa67ec782fea3c4315a4ab0d5b107e61ee9d8,,,"Super Mario",,,v20080913-1,2008,Jorgeche,,,,,,,1,,,,@,,,
"Virtual League Baseball",,b887adfff23d53c7fb738679ec042981468b570c,,,,,,,1995,Kemco,us,b,,,,,,,,,@,,,
"Panic Bomber",,b8a12a9677afa5cbce6ed43eb0effb5a02875534,,,"Tobidase! Panibomb",,,,1995,Hudson,jp,!,,,,,,,,,@,,,
"Nester's Funky Bowling",,b95f81d333ddcb13447b0357238f0e7d20294010,,,,,,,1996,Nintendo,us,b,,,,,,,,,@,,,
@,,bdb31bdceaacc53e021da9fffd1d42e9dfecf11e,,,"Hello, World!",,,"v1.1 /",2002,"Bieler, Amos",,,,,,,,,,,@,,,
@,,be77239ddf4d23c8c3f48f3d0b5d35492433dc13,,,"Hover Demo",,,"v0.1 /",2008,"Bieler, Amos",,,,,,,,,,,@,,,
@,,c357f6fb487570cd741c32babb452dd634cda0f4,,,GoSub,,,,2009,"Read, Chris",,,,,,,,,,,@,,,
@,,c533b4dd7826c14ec84f727d9cc54f61f8c72751,,,"Mario Flying Demo",,,,2002,Frostgiant,,,,,,,,,,,@,,,
Golf,,c595285d42c69f14b2b418c1edfbe4a7f9a624b6,,,"T&E Virtual Golf",,,,1995,"T&E Soft",jp,!,,,,,,,,,@,,,
Teleroboxer,,c59e020f9674774c5cbc022317ebba0eb1d744f7,,,,,,,1995,Nintendo,"jp,us",!,,,,,,,,,@,,,
"Mario's Tennis",,c67b3be7386f06eeed755e2d6b0570da79e4d176,,,,,,,1995,Nintendo,"jp,us",!,,,,,,,,,@,,,
@,,c7204ba5cfe7d26394b5e22badc580c8ed8c0b37,,,"Vertical Force",,,,1995,Hudson,jp,,,,,,,,,,@,,,
@,,c90007589d6bb7f553354d66995bb604064a1d50,,,"VB Racing",,,,2008,"Kujaczynski, Martin",,,,,,,,,,,@,,,
@,,caeb5a1c416c440a78f266bdb12674bfb6037eb5,,,GoSub,,,"v20090502 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,cb4b9a0bb6af5a4b1224bfb926bca24e3430bdbc,,,PongInvaders,,,,2012,usch,,,,,,,,,,,@,,,
@,,cc60aa0ac04ce97db79ea1af7ff72ecd860fd147,,,"GoSub 3D",,,,2010,"Read, Chris",,,,,,,,,,,@,,,
@,,ccbe19dae8dd9fafbd06118881e33e374a6861ed,,,Tron,,,v20080927,2008,"Covarrubias, Alberto",,,,,,,1,,,,@,,,
@,,ccdc23e4f866e771d15fa480706669003afbde5b,,,"Super Mario",,,v20081001,2008,Jorgeche,,,,,,,1,,,,@,,,
@,,cd9fa7f51e232187c2b3c15048bbc4bcb69615dd,,,"Super Mario",,,v20080930,2008,Jorgeche,,,,,,,1,,,,@,,,
@,,cf2bb451316408da8b02eabff85549869412cbaf,,,GoSub,,,"v20091101 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,d04af71081ae56e9afd18b0b5f64be09c2aef21b,,,"Virtual-E Cursor Demo",,,,1999,"Covarrubias, Alberto",,,,,,,,,,,@,,,
@,,d04db03cc9587c3fdaf061e6c7493c96bce8ee75,,,"Virtual Pro Yakyuu '95",,,,1995,Kemco,jp,,,,2,,,,,,@,,,
