"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"F-15 Strike Eagle",,4bfdafa848223598ca16699ad44fe4a19a1c2ba2,,,,,,,1993,MicroProse,eu-us,!,,,,,,,,,,,,
"GG Aleste",,4c13dc3601a1702692c35eb6c89f0e09ab966f69,,,,,,,1991,Compile,jp,?,,,,,,,,,,,,
"Scratch Golf",,4c1d3b5057702341b5646d0a2fe65a9bda966211,,,,,,,1994,"Sims | Vic Tokai",jp,!,,,,,,,,,,,,
"Judge Dredd",,4c9d00faeb4454a8f538b5ccc6453b3464930afa,,,,,,,1995,Acclaim,xw,?,,,,,,,,,,,,
"GG Portrait: Yuuki Akira",,4cbb453663665a06e986a6ab015a041463b48373,,,,,,,1996,Sega,jp,!,,,,,,,,,,,,
"Woody Pop",,4efbfa1d3234d8f1800a06ab72b2177fba6914cb,,,,,,v1,1991,Sega,xw,!,,,,,,,,,,,,
"Wagyan Land",,500e61e8464359df8176c373e631fd719e4ed498,,,Wakiyarando,,,,1991,Namco,jp,b,,,,,,,,,,,,
"Adventures of Batman & Robin",,50e8726be1b26d066ea9e2e2b5cd7407c356187e,,,,,,,1995,Sega,xw,?,,,,,,,,,,,,
"Wonder Boy III: Dragon's Trap",,5108c4920b4a14fd06f1a024e1be5f6bf233bd84,,,,,,Beta,1992,Sega,,?,,,,,,,,,,,,
"Head Buster",,51432c7892d87b31f5f3216d3ef01eadc591b768,,,,,,,1991,NCS,jp,?,,,,,,,,,,,,
"Baku Baku Animal",,5145967d0a3632cf6bb1a9d58b2ef04faecd40db,,,,,,,1996,Sega,eu,!,,,,,,,,,,,,
"Tom and Jerry: Movie",,514f8bc2e9306f4005d5a8aa2dc49304d48bfc82,,,,,,,1993,Sega,xw,?,,,,,,,,,,,,
"Shanghai II",,5180891ec0ae08d784dd89222d9ffd7f88a59691,,,,,,v0,1990,"Activision | Sunsoft",jp,?,,,,,,,,,,,,
Battleship,,52a44d0ef8046aecc29e29306dc08266c6a8236a,,,,,,,1992,Mindscape,eu-us,b,,,,,,,,,,,,
"Fatal Fury Special",,52e870bf120ca2f903d5ee506386a59352aa025e,,,,,,,1994,"SNK | Takara",us,b,,,,,,,,,,,,
"Micro Machines 2: Turbo Tournament",,53ad6546462638ab246b4fdd7ca4b8966dde0d96,,,,,,,1995,Codemasters,eu,?,,,,,,,,,,,,
"Ninja Gaiden",,53fad0e2a180d0add8497f0195fd35537f508afb,,,,,,,1991,"Sega | Tecmo",jp,b,,,,,,,,,,,,
"Olympic Gold: Barcelona '92",,53fd026008be77cd0cda7080e67a87a7bad33a6a,,,"Olympic Gold",,,v1,1992,"U.S. Gold",eu,!,,,,,,,,,,,,
"Samurai Shodown",,54269e3280d21d13ad30dfad1f37b31ca8644c5d,,,"Samurai Spirits",,,,1994,"SNK | Takara",jp,b,,,,,,,,,,,,
"Lunar: Sanposuru Gakuen",,548ef495ce11638c33da8b9dc1c807748e48cebf,,,,,,,1995,"Game Arts",jp,?,,,,en,,,,,,,,
"World Cup USA 94",,5596ecb5b7a28027e5c0ad1c8acc73c45e7a1265,,,,,,,1994,"U.S. Gold",xw,!,,,,,,,,,,,,
Jeopardy!,,55cb5cb3c37e8403ebf4a47560f0ece416323c56,,,"Jeopardy!: Sports Edition",,,,1994,GameTek,eu-us,!,,,,,,,,,,,,
"!Public Domain",,56157d43234d22f93a0c7e809ff4f35e8f3befae,,,"GG Turrican",,,v0.90,2003,"Konrad, Martin",,?,,,,,*,,,,,,,
"Winter Olympics: Lillehammer '94",,578fc35fe155dca2c9adf17464d23aaf8205148f,,,"The XVII Olympic Winter Games: Lillehammer 1994",,"XVII Olympic Winter Games - Lillehammer 1994",,1993,"U.S. Gold",jp,!,,,,,,,,,,,,
"Sylvan Tale",,57f1dc025bc0b795e603f37b89bed38581e35e49,,,,,,v1.01,1995,Sega,jp,?,,,,en,,,,,,,,
"WWF Raw",,585e147026bd998062e64ed3c0aaa0a07e6ee734,,,,,,,1994,Acclaim,xw,!,,,,,,,,,,,,
Pengo,,5883e2d19ab7126d52abc177a97d44bc88c319de,,,,,,,1990,Sega,jp,?,,,,,,,,,,,,
"Fantasy Zone Gear",,5951d500d6f53b0537f045adb85d94068a838f32,,,,,,,1991,"Sanritsu | Sega",xw,!,,,,,,,,,,,,
"Land of Illusion Starring Mickey Mouse",,5975bf7d01c84b9433c2859e6d38d26545fd3bc9,,,,,,,1993,"Disney | Sega",us,!,,,,,,,,,,,,
