"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,0903c065a7cb743fc1c2b7338a3edde32cab9e59,,,"Sprite Tervezo",@,,,19xx,@,hu,,,,,,,,,,,,,
Extra_Airwolf,,094b65fb99a5d5dcc800d0fa73c739dd47c59e56,,,,,,,,,,,,,,,,,,,,,,
@,,0992e659578f351006ec8119be8d7c6610653c91,,,"Recall Collection 176",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
"Super Cobra",,09957ca6ddec902b32f690bfc461d48b0547047d,,,,,,"Language hu",1987,Novotrade,,,,,,,,Supy,,,,,,
"Major Blink",,099938b6781071349da8b0c1efaa83c773f347c4,,,,,,,1985,"CRL Group",,,,,,,,,,,,,,
@,,09a153d91fb36a05542ec694a1b30c8f43d56d20,,,"Logo Editor",@,,"v 1.2; Language en; Copyright Freeware",1994/08/04,Aliens,hu,,,,,,,,,,,,,
@,,09a48909bb44cc2f34c114a60bead415e9d40670,,,"Plot Editor",@,,"v 1.1; Language en; Copyright Freeware",1992,EDC,hu,,,,,,,,,,,,,
"Lloyd Game",,09b37e6972bb272e9c937fb4b0457aab7c9e0a0d,,,,,,"Copyright Public Domain",1992,Methabolix,,,,,,,,,,,,,,
@,,09b6a43a0fde412620cfcfd92e5b46b70215f9e1,,,"Byte Times #03",@,,"Language hu",19xx,@,@,,,,,,,,,,,,,
@,,09b818f0e6dfad41636d778f97d9b70f14b7374c,,,Turf-Form,@,,,1988,"Blue Ribbon",gb,,,,,,,,,,,,,
@,,09caced4fee355bc65000035e75699d825bb0f7b,,,"Terror news #21",@,,"Language hu",1991,Terrorists,@,,,,,,,,,,,,,
"Crazy Golf",,0a081992c1c52130e10fe22727b8f7a06ebb4ad8,,,,,,,1984,CBM,,,,,,,,,,,,,,
@,,0a15f6426d1cebe43b68ab4dd4f256b783082b6c,,,"Recall Collection 573",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
"Soccer Director",,0a1d6c9a7008738232e74e7b0d62ed2af9783a0c,,,,,,,1990,Muffbusters,,,,,,,1,,,,,,,
@,,0a4139fac6f1b0e51203a5bc4a122a6aa975b218,,,"Recall Collection 277",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Paratroopers,,0a5493705132536305be0e474fa5312e87395065,,,,,,(Plus4),1992,FYC,,,,,,,1,,,,,,,
Boulder_Dash_V1,,0a650bb0c38642736aee199c3e2e0cbc5664899e,,,,,,,,,,,,,,,,,,,,,,
Pirate_Adventure_C16,,0a6c6f67d01bd9acbe5832473de14c15fa68c21f,,,,,,,,,,,,,,,,,,,,,,
@,,0a6d9df6f7e5024fd49805a3694295ea2b811bc2,,,"Recall Collection 133",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Classic_Snooker_C16,,0a701fa195789fbde28db13957dbe6b221b9efd2,,,,,,,,,,,,,,,,,,,,,,
@,,0a8e26152980cafe2beccb1bb1f8b0d98b5b81d0,,,Psyclone,@,,,19xx,"Intellect Software",gb,b,"b 1",,,,,,,,,,,
@,,0a952ed81541797370e86a559d2d9621a2c8b490,,,"Graphics Designer",@,,,1984,Kingsoft,gb,,,,,,,,,,,,,
@,,0aa040e0c13e3f5fe1f8cc1dd1012b6342b302de,,,"Aces Up",@,,"Copyright Freeware",19xx,Thunderbirds,gb,,,,,,,,,,,,,
@,,0aaafde1c260da79e953e4f8e3308186450aac9b,,,"Xargon Wars",@,,,19xx,Gremlin,@,,,,,,,,,,,,,
Hunter_,,0aab7e6c15357953a2118dd5b37de27038be5651,,,,,,(HJD),,,,,,,,,,,,,,,,
@,,0abd5ff00cb29b67cd169af3b3f40a3d69c83739,,,Cityrunner,@,,,19xx,@,@,,,,,,,,,,,,,
@,,0ac8025e827efa4809cc0aaa6e9e5577d11901d4,,,"Pic-Maker II Pro",@,,"Language en",1992/04/27,nukem,de,,,,,,,,,,,,,
@,,0ac97b4b61775dedd0321cc313efeb2c605dd0d8,,,"Number Builder",@,,,1985,Commodore,@,,,,,,,,,,,,,
Future_Bomber,,0ad9607a4a7e02ce097b6a8aca297a6e35c6c212,,,,,,,,,,,,,,,,,,,,,,
@,,0aea8891b399b60115542823188f36d8edba4ded,,,"Cave Fighter",@,,"(Side B)",1985,"Bubble Bus Software",@,,,,,,,,,,,,,
@,,0af3aa95d72d7f387ba254201f4d71fae8f4c002,,,"Recall Collection 079",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Galaxy,,0afaf5781cb6601174ff4d1d1258cc1a732bc9e9,,,,,,,,,,,,,,,,,,,,,,
@,,0afdda8e4d979c3dba7bb12f5e135df5640037ab,,,"Volleyball: The Arcade Game",@,,"(Plus4); (en-hu); (PD)",1997,Assassin,@,,[docs],,,,,,,,,,,
@,,0b1a41f0d1d517f3e417dccdaa5dee0d3a5fec52,,,"Recall Collection 249",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,0b3845b3ea4f4a3709caf3841116b16e2da68bb1,,,"Recall Collection 132",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,0b5588588a539e9ace87731128829537c1bc7975,,,"Recall Collection 555",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Deflection,,0b6a1e4a09e4896c892ee186d8e99aa101ad4ea6,,,,,,,,,,,,,,,,,,,,,,
@,,0b6b38199af2d8f174eabb0cd899e54cac28540a,,,"Super Pipeline",@,,,1993,Coroners,@,,,,,,1,,,,,,,
@,,0b8ddc2631ab869c5db12bdd87ee9f75b411662f,,,"Depreciation Calc",@,,"Copyright Public Domain",1984,CBM,us,,,,,,,,,,,,,
@,,0b9e857c7b42fb10a5f76700f33b2f40285b2bae,,,Supertoto,@,,,1985,"Ed. Softwell",it,,,,,,,,,,,,,
@,,0bd05f9f11c2c61f5df9c506a46601cb0e160475,,,"Recall Collection 013",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,0bd48158ea2a1c1431d37e61ddc2d7c0cb3ece8b,,,"Recall Collection 242",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Spiderman_+4,,0bda98b6f2193192900b60d0dbb49771a82993bc,,,,,,,,,,,,,,,,,,,,,,
Treasure_Island_Trained,,0bdf4054bb09c036557f4bfdb07c2c2c75573f2d,,,,,,,,,,,,,,,,,,,,,,
@,,0be07e0f03c12e5d8a13ba40447ee938b4012ce4,,,"Stamp Maker",@,,"Language en; Copyright Freeware",19xx,ICE-Team,hu,,,,,,,,,,,,,
@,,0be9862182181192f28b38196871c0a9aa0623ec,,,"TGH Loader",@,,,19xx,TGH,hu,,,,,,,,,,,,,
Cross_Puzzle,,0bee3a27f3bdad059e9090d50de8abafd5c5e071,,,,,,,,,,,,,,,,,,,,,,
@,,0c00a0dce89ddfcb2734f28ee89322e551450762,,,"S.A.M. GuessNum",@,,"Language en; Copyright Freeware",19xx,Pigmy,hu,,"[req S.A.M.]",,,,,,,,,,,
@,,0c01b0b7de2b1332407d9fa6e9fa4f29fdbca1e8,,,"Soft 80",@,,,1987,Kingsoft,de,,,,,,,,,,,,,
Rebound,,0c3af4139337b43726662ec5ec363c27398da4d2,,,,,,,,,,,,,,,,,,,,,,
Deepspace,,0c3ba5baed2212a02b825d7ba4635ce614482100,,,,,,,,,,,,,,,,,,,,,,
