"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"256K Channel F Multigame ROM",,d8d266846a01db69c0bb436093634ada7558f37f,,,"Channel F Multi-Cart",,,"Final Version",2004,"Riddle, Sean",,?,,,,,,,,,@,,,
"Drag Strip",,d915c8997f56ae09548498feecebf3c3bfcdf6c4,,,,,,,1977,Fairchild,,?,Fairchild-09,,,,,,,,@,,,
@,,db17bbc4f3f64bc5cb698de66b0f4838be430afa,,,Football,,,proto,197x,Zircon,@,@,@,@,@,@,@,@,@,@,@,,,
Schach,,e2082895697195aebe01ff33f77ebf7c9ba023df,,,,,,,1979,SABA,,b,SABA-20,,,,,,,,,,,
Democart,,e462e594c14cdb10ddc4c263b74e753316c3b358,,,,,,Demo,1977,Fairchild,,?,,,,,,,,,@,,,
"Memory Match 1 & 2",,e46406119020c85002513b1c01352f76dcd604a4,,,,,,,1978,Fairchild,,?,Fairchild-15,,,,,,,,@,,,
@,,e6d7bfc727d0d2f04788550360e09d1f4fc0e466,,,Werbetextcassette,,,@,198x,Electronic-Partner,de,@,@,@,@,@,@,@,@,@,@,,,
@,,e7aa4fc825b14a9796fded16de4287803f65210a,,,"Boogie 2 Music Demo",,,@,2008,Warlord,@,@,@,@,@,@,@,@,@,@,@,,,
@,,e858e4db47017bfac62443e3163da8f7516b5c25,,,"Full Screen Picture Demo",,,@,200x,e5frog,@,@,@,@,@,@,@,@,@,@,@,,,
@,,e8c2a8c960579b8cd128e5c68ab98959f4af8139,,,"International Karate Demo Test 2",,,@,200x,@,@,@,@,@,@,@,@,@,@,@,@,,,
"Math Quiz I: Addition & Subtraction",,f0bfdc8f6beed2ef54add820c5e164005d2d1d25,,,,,,,1976,Fairchild,,?,Fairchild-06,,,,,,,,@,,,
@,,f1bd458f1efc4e9afe06db190a2a7ddb660418bf,,,"Draw Poker",,,proto,197x,Zircon,@,@,@,@,@,@,@,@,@,@,@,,,
"Galactic Space Wars | Luna Lander",,fc3cadc90d73ce7e3b32b5c9a855d621e79c592a,,,,,,,1978,Zircon,,?,Zircon-23,,,,,,,,@,,,
